AuthorKey,FullNames,Num_SBU_Papers_since2023,Num_Letters,Num_PeerReviewed,Num_Preprints,DOIs
ji_z,"Ji, Z.",18,2,12,4,; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevC.110.064909; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
dehmelt_k,"Dehmelt, K.",18,2,11,5,; 10.1007/JHEP08(2025)075; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/h8d5-swg6; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
yamaguchi_y,"Yamaguchi, Y.L.",18,2,12,4,; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevC.110.064909; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
doomra_v,"Doomra, V.",18,2,12,4,; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevC.110.064909; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
novitzky_n,"Novitzky, N.",18,2,12,4,; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevC.110.064909; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
sharma_d,"Sharma, D.",18,2,12,4,; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevC.110.064909; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
jacak_b,"Jacak, B., Jacak, B.V.",17,2,12,3,; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevC.110.064909; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/ptpm-jtt8
hanks_j,"Hanks, J.",17,1,12,4,; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevC.110.064909; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
lee_s,"Lee, S.H.",17,2,12,3,; 10.1103/6pmd-6dwr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevC.110.064909; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/PhysRevLett.134.022302; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
kline_p,"Kline, P.",17,1,12,4,; 10.1103/6pmd-6dwr; 10.1103/6vqj-wdfr; 10.1103/PhysRevC.107.014907; 10.1103/PhysRevC.107.024907; 10.1103/PhysRevC.107.024914; 10.1103/PhysRevC.109.044907; 10.1103/PhysRevC.109.044912; 10.1103/PhysRevC.109.054910; 10.1103/PhysRevC.110.044901; 10.1103/PhysRevC.110.064909; 10.1103/PhysRevD.107.052012; 10.1103/PhysRevD.107.112004; 10.1103/PhysRevD.108.072016; 10.1103/PhysRevLett.130.251901; 10.1103/hpm9-qfp6; 10.1103/ptpm-jtt8
